,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,id
22,0.713,0.801,-5.781,0.0483,0.00628,1.5e-06,0.825,153.984,28STRBEo3Gp4EthtSk4MGW
23,0.393,0.858,-2.868,0.0729,0.00359,0.0,0.102,176.042,04aAxqtGp5pv12UXAg4pkq
24,0.853,0.693,-6.87,0.275,0.0239,0.0,0.11,95.967,4X5f3vT8MRuXF68pfjNte5
25,0.776,0.736,-4.612,0.247,0.0802,0.0,0.159,147.946,1fCeXjoRExPP2qwSBh2aST
26,0.622,0.961,-3.198,0.154,0.00523,0.0,0.0854,114.452,0a7BloCiNzLDD9qSQHh5m7
27,0.718,0.808,-7.652,0.0473,0.0299,0.00414,0.225,100.033,3FWPoYBDserKdzcattMFGa
28,0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,119.964,2vwlzO0Qp8kfEtzTsCXfyE
29,0.732,0.396,-9.348,0.0286,0.0841,3.58e-05,0.105,90.024,6i0V12jOa3mr6uu4WYhUBr
30,0.795,0.178,-11.991,0.0574,0.607,0.0,0.623,93.982,18uwL0vNUanqZH0ro2QcOP
31,0.51,0.846,-4.595,0.0461,0.0101,0.0,0.208,139.927,2fVHrSxsQbJUuj9MW9zG1e
32,0.655,0.782,-4.789,0.185,0.375,0.0,0.317,79.427,3cU2wBxuV6nFiuf6PJZNlC
33,0.816,0.538,-6.354,0.0617,0.0142,0.000496,0.099,97.054,3gE4eQH3K83Sght0ZLvuBK
34,0.695,0.575,-6.334,0.116,0.198,0.0,0.0614,163.929,0MMyJUC3WNnFS1lit5pTjk
35,0.714,0.697,-7.887,0.032,0.0197,2e-06,0.0697,122.145,3AByU7TD4ZTwCKTx3YTnMD
36,0.502,0.168,-14.061,0.0486,0.885,0.0,0.111,112.881,219slQu3ALbTSAe9P22hvE
37,0.809,0.547,-7.305,0.0614,0.452,0.0,0.054,94.992,2RNsweBBb1a6tAHXQtt2xH
38,0.558,0.451,-6.163,0.0388,0.292,0.0,0.101,150.008,76eBb8heDKtUg68WiKX9j1
39,0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,99.968,3eR23VReFzcdmS7TYCrhCe
40,0.571,0.307,-10.958,0.0499,0.649,0.0,0.178,83.72,6mb6lVLNrcUgLnEN8QnDJd
41,0.631,0.953,-3.739,0.0343,0.0241,0.0155,0.108,141.99,3MEYFivt6bilQ9q9mFWZ4g
42,0.888,0.632,-3.872,0.219,0.19,0.0,0.101,91.979,2NBQmPrOEEjA8VbeWOQGxO
43,0.839,0.81,-5.274,0.0568,0.501,0.0,0.117,129.014,1f5cbQtDrykjarZVrShaDI
44,0.851,0.806,-4.62,0.0787,0.118,1.64e-06,0.121,118.999,5R8dQOPq8haW94K7mgERlO
45,0.765,0.356,-5.556,0.195,0.223,0.0,0.0963,96.991,3pXF1nA74528Edde4of9CC
46,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,139.994,4h9wh7iOZ0GGn8QVp4RAOB
