,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
115,0.895,0.92,1,-5.18,1,0.187,0.0852,0.0,0.16,0.891,99.998,audio_features,5UmGJS0jd1r52OjnNvVHvU,spotify:track:5UmGJS0jd1r52OjnNvVHvU,https://api.spotify.com/v1/tracks/5UmGJS0jd1r52OjnNvVHvU,https://api.spotify.com/v1/audio-analysis/5UmGJS0jd1r52OjnNvVHvU,199107,4
116,0.705,0.866,8,-5.036,0,0.0563,0.171,0.000162,0.645,0.816,127.986,audio_features,4cqiLvFRDuV8ClE61eMmZx,spotify:track:4cqiLvFRDuV8ClE61eMmZx,https://api.spotify.com/v1/tracks/4cqiLvFRDuV8ClE61eMmZx,https://api.spotify.com/v1/audio-analysis/4cqiLvFRDuV8ClE61eMmZx,351027,4
117,0.64,0.98,6,-5.748,1,0.0435,0.0714,0.00659,0.108,0.813,132.824,audio_features,1FXd0ozR85IqI3AsgL3Kls,spotify:track:1FXd0ozR85IqI3AsgL3Kls,https://api.spotify.com/v1/tracks/1FXd0ozR85IqI3AsgL3Kls,https://api.spotify.com/v1/audio-analysis/1FXd0ozR85IqI3AsgL3Kls,227605,4
118,0.746,0.854,10,-6.068,0,0.0508,0.114,0.0,0.1,0.965,124.787,audio_features,7r91bpZvftQAk6EfdSdwXq,spotify:track:7r91bpZvftQAk6EfdSdwXq,https://api.spotify.com/v1/tracks/7r91bpZvftQAk6EfdSdwXq,https://api.spotify.com/v1/audio-analysis/7r91bpZvftQAk6EfdSdwXq,239086,4
119,0.867,0.538,2,-16.183,1,0.361,0.242,1.75e-05,0.316,0.781,158.328,audio_features,4fxF8ljwryMZX5c9EKrLFE,spotify:track:4fxF8ljwryMZX5c9EKrLFE,https://api.spotify.com/v1/tracks/4fxF8ljwryMZX5c9EKrLFE,https://api.spotify.com/v1/audio-analysis/4fxF8ljwryMZX5c9EKrLFE,249933,4
120,0.792,0.5,6,-13.111,0,0.032,0.0334,9.96e-06,0.164,0.817,123.01,audio_features,5FgksYa3NCAO9ggJTuD5Q7,spotify:track:5FgksYa3NCAO9ggJTuD5Q7,https://api.spotify.com/v1/tracks/5FgksYa3NCAO9ggJTuD5Q7,https://api.spotify.com/v1/audio-analysis/5FgksYa3NCAO9ggJTuD5Q7,242783,4
121,0.721,0.92,1,-4.901,1,0.0616,0.211,1.87e-06,0.0647,0.961,103.191,audio_features,07DcH2UllHvVRKjD2HEJuC,spotify:track:07DcH2UllHvVRKjD2HEJuC,https://api.spotify.com/v1/tracks/07DcH2UllHvVRKjD2HEJuC,https://api.spotify.com/v1/audio-analysis/07DcH2UllHvVRKjD2HEJuC,224627,4
122,0.77,0.966,6,-2.699,1,0.0848,0.014,2.92e-06,0.107,0.942,122.978,audio_features,1AbP5ktWe2uQh8AG2ONGlD,spotify:track:1AbP5ktWe2uQh8AG2ONGlD,https://api.spotify.com/v1/tracks/1AbP5ktWe2uQh8AG2ONGlD,https://api.spotify.com/v1/audio-analysis/1AbP5ktWe2uQh8AG2ONGlD,233400,4
123,0.764,0.887,11,-3.726,1,0.0744,0.0816,0.00011,0.847,0.72,118.427,audio_features,7azo4rpSUh8nXgtonC6Pkq,spotify:track:7azo4rpSUh8nXgtonC6Pkq,https://api.spotify.com/v1/tracks/7azo4rpSUh8nXgtonC6Pkq,https://api.spotify.com/v1/audio-analysis/7azo4rpSUh8nXgtonC6Pkq,358053,4
124,0.865,0.505,7,-11.813,1,0.102,0.0631,0.0151,0.102,0.475,123.102,audio_features,1aJnGme5ZRltYTp8FJ52eZ,spotify:track:1aJnGme5ZRltYTp8FJ52eZ,https://api.spotify.com/v1/tracks/1aJnGme5ZRltYTp8FJ52eZ,https://api.spotify.com/v1/audio-analysis/1aJnGme5ZRltYTp8FJ52eZ,301200,4
125,0.666,0.839,5,-8.82,0,0.0544,0.019,0.00195,0.128,0.397,119.564,audio_features,4rcK1t8KTbetfO3n8CDyyW,spotify:track:4rcK1t8KTbetfO3n8CDyyW,https://api.spotify.com/v1/tracks/4rcK1t8KTbetfO3n8CDyyW,https://api.spotify.com/v1/audio-analysis/4rcK1t8KTbetfO3n8CDyyW,285400,4
126,0.674,0.832,9,-7.892,1,0.0308,0.146,5.06e-06,0.138,0.981,125.996,audio_features,3kXoKlD84c6OmIcOLfrfEs,spotify:track:3kXoKlD84c6OmIcOLfrfEs,https://api.spotify.com/v1/tracks/3kXoKlD84c6OmIcOLfrfEs,https://api.spotify.com/v1/audio-analysis/3kXoKlD84c6OmIcOLfrfEs,216022,4
127,0.424,0.222,9,-15.053,0,0.0391,0.646,0.0,0.148,0.0606,61.648,audio_features,6HMvJcdw6qLsyV1b5x29sa,spotify:track:6HMvJcdw6qLsyV1b5x29sa,https://api.spotify.com/v1/tracks/6HMvJcdw6qLsyV1b5x29sa,https://api.spotify.com/v1/audio-analysis/6HMvJcdw6qLsyV1b5x29sa,246933,4
128,0.507,0.895,7,-7.362,1,0.0733,0.295,4.26e-05,0.0796,0.553,169.149,audio_features,5JyIcktAtMpANKqCtEaX6y,spotify:track:5JyIcktAtMpANKqCtEaX6y,https://api.spotify.com/v1/tracks/5JyIcktAtMpANKqCtEaX6y,https://api.spotify.com/v1/audio-analysis/5JyIcktAtMpANKqCtEaX6y,283907,4
129,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,audio_features,0v1XpBHnsbkCn7iJ9Ucr1l,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/tracks/0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/audio-analysis/0v1XpBHnsbkCn7iJ9Ucr1l,224493,4
130,0.907,0.564,0,-9.29,1,0.0568,0.000928,0.65,0.108,0.229,122.632,audio_features,0B5kY9i9bmP7554oU4jRoO,spotify:track:0B5kY9i9bmP7554oU4jRoO,https://api.spotify.com/v1/tracks/0B5kY9i9bmP7554oU4jRoO,https://api.spotify.com/v1/audio-analysis/0B5kY9i9bmP7554oU4jRoO,245413,4
131,0.535,0.716,4,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379,audio_features,2Cdvbe2G4hZsnhNMKyGrie,spotify:track:2Cdvbe2G4hZsnhNMKyGrie,https://api.spotify.com/v1/tracks/2Cdvbe2G4hZsnhNMKyGrie,https://api.spotify.com/v1/audio-analysis/2Cdvbe2G4hZsnhNMKyGrie,175173,4
132,0.885,0.664,1,-11.795,1,0.0524,0.145,0.0483,0.0767,0.906,121.632,audio_features,3K7Q9PHUWPTaknlbFPThn2,spotify:track:3K7Q9PHUWPTaknlbFPThn2,https://api.spotify.com/v1/tracks/3K7Q9PHUWPTaknlbFPThn2,https://api.spotify.com/v1/audio-analysis/3K7Q9PHUWPTaknlbFPThn2,298867,4
133,0.883,0.844,10,-9.225,0,0.0727,0.0147,4.3e-06,0.0494,0.714,124.6,audio_features,5DsWreZuo87rPWo0T21CT8,spotify:track:5DsWreZuo87rPWo0T21CT8,https://api.spotify.com/v1/tracks/5DsWreZuo87rPWo0T21CT8,https://api.spotify.com/v1/audio-analysis/5DsWreZuo87rPWo0T21CT8,320307,4
134,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,audio_features,1jDJFeK9x3OZboIAHsY9k2,spotify:track:1jDJFeK9x3OZboIAHsY9k2,https://api.spotify.com/v1/tracks/1jDJFeK9x3OZboIAHsY9k2,https://api.spotify.com/v1/audio-analysis/1jDJFeK9x3OZboIAHsY9k2,183440,4
135,0.675,0.961,10,-7.404,0,0.0807,0.00166,0.0747,0.039,0.714,128.058,audio_features,7pNCfIEaUoI0DrrJ5JSgnH,spotify:track:7pNCfIEaUoI0DrrJ5JSgnH,https://api.spotify.com/v1/tracks/7pNCfIEaUoI0DrrJ5JSgnH,https://api.spotify.com/v1/audio-analysis/7pNCfIEaUoI0DrrJ5JSgnH,188832,4
136,0.398,0.878,7,-9.22,0,0.0362,9.92e-05,0.966,0.614,0.219,137.99,audio_features,2jXJOfYitnwO1w54dPMeZN,spotify:track:2jXJOfYitnwO1w54dPMeZN,https://api.spotify.com/v1/tracks/2jXJOfYitnwO1w54dPMeZN,https://api.spotify.com/v1/audio-analysis/2jXJOfYitnwO1w54dPMeZN,179280,4
137,0.709,0.907,6,-12.405,1,0.0452,0.0631,0.00186,0.138,0.746,127.9,audio_features,78ePMYOtObETLaxVEVizXl,spotify:track:78ePMYOtObETLaxVEVizXl,https://api.spotify.com/v1/tracks/78ePMYOtObETLaxVEVizXl,https://api.spotify.com/v1/audio-analysis/78ePMYOtObETLaxVEVizXl,246675,4
