,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,cluster
1941,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1942,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1943,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1944,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1945,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1946,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1947,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1948,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1949,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1950,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1951,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1952,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1953,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1954,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1955,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1956,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1957,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1958,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1959,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1960,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1961,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1962,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1963,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1964,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1965,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1966,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1967,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1968,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1969,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1970,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1971,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1972,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1973,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1974,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1975,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1976,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1977,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1978,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1979,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1980,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1981,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1982,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1983,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1984,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1985,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1986,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1987,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1988,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1989,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1990,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1991,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1992,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1993,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1994,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1995,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1996,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1997,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1998,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
1999,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2000,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2001,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2002,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2003,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
